,sentence
116,미쉐린 스타셰프 하비에르 아란다세계 최고의 식당 평가서인 ‘미쉐린가이드’의 별을 받는다는 것은 유럽에선 커다란 명예로 여겨지는데요.
117,유명 레스토랑 배경에 셰프가 주인공으로 등장하는 영화를 보면 손님으로 위장한 비밀 심사위원이 등장하는 장면을 종종 볼 수가 있죠.
118,특히 프랑스 몇몇 유명 요리사들은 별점에 대한 압박에 자살까지 한 사건들도 있었을 정도.
119,그런데 얼마 전 미쉐린 스타 셰프가 한국에 오픈한 파인다이닝 레스토랑으로부터 초대를 받는 기회가 왔지 뭡니까.
120,비록 비밀 심사위원은 아니지만 론칭한 메뉴들을 맛보고 평가해달라는 요청에 한달음에 달려가 보았죠.
121,식사하는 공간으로 들어가기 전 집으로 치자면 마치 전실처럼 작은 응접실 같은 곳이 먼저 손님을 반겨줍니다.
122,잠시 웰컴 드링크를 마시며 대기했다가 투어를 하듯이 코스가 시작되는데 ‘방카다’라는 최신 스페인 식당의 트렌드를 경험할 수 있어요.
123,여기서는 칵테일 파티하듯 선 채로 몇 가지 종류의 애피타이저를 핑거푸드로 맛보게 되는데 타파스(스페인에서 식사 전에 술과 곁들여 간단히 먹는 소량의 음식을 이르는 말)라고 생각하시면 돼요.
124,서버의 설명을 들으며 하나씩 차례대로 맛보다 보니 미식 여행 출발점에서 ‘어서와~ 이런 미식은 처음이지’하고 입안에서 재료들이 제게 얘기해주는 듯했어요.
125,방카다 스낵방카다에서부터 그 어디에서도 느껴보지 못했던 미식에 ‘미뢰(혀의 맛봉우리)’가 혼란스러워하는 찰라 본격적인 코스 투어를 위해 예약된 자리로 이동해 착석 완료.
126,먼저 야채 시퀀스에서는 스페인의 정원을 테마로 한 초록빛의 칵테일 음료를 시작으로 갓 구워낸 프렌치 타르트 위에 단호박과 단새우를 갈아 퓌레로 만들어 올린 핑거푸드 세 번째는 파스닙이라고 하는 하얀색 당근과 오렌지 된장을 베이스로 한 아이스크림이 본편 들어가기 전 가볍게 몸 풀듯 아니 ‘입’을 풀어줍니다.
127,두 번째는 ‘아스파라거스 트리제로’인데 살짝 볶은 아스파라거스에 훈제 치즈 오렌지 된장 루바브 젤리를 함께 플레이팅한 요리였어요.
128,메인 디시 전 스낵으로 토마토로 만든 스페인 전통의 차가운 수프인 ‘가스파초’를 내줬는데 프라이한 단새우를 넣어서 수제 생새우깡 같은 느낌이 들더라고요.
129,두 번째는 바삭하게 구운 토르티야 위에 염장한 새끼 새우를 올리고 쪽파로 만든 마요네즈를 곁들인 핑거푸드.
130,보석처럼 예쁜 플레이팅에 마치 가우디 건축물을 미니어처로 보는 듯한 기분이 들더라고요.
131,세 번째 생바지락을 넣은 ‘블러디 메리’까지 재밌는 경험을 마치고 나면 이제야 시작되는 바다 시퀀스 메인.
132,발렌시아 지중해 해안가에서 잡은 총알 오징어를 살짝 데친 후에 석쇠에 구워 시어링하고 페루 고추로 만든 노란색 소스와 딜 허브로 만든 초록색 소스를 올려 느끼함과 매콤함이 감칠맛을 배가시켜주더군요.
133,총알 오징어 ‘치피론’ 카바야바다 코너의 마지막이 백미였는데 ‘카바야’라고 부르는 요리.
134,된장에 마리네이드한 훈제 고등어가 주재료인데 아세이투나라고 하는 노란색 차가운 소스를 부어주면 색감이 아주 ‘예술 그 잡채’.
135,소스의 산도가 고등어의 지방을 잘 잡아줘 균형 있는 맛을 느끼게 해주네요.
136,일상적 메뉴가 아니라 일일이 맛을 기억할 수 없었지만 카바야는 맛을 본지 일주일이 지난 지금까지 혀끝에 남아있는 듯.
137,두 번째 메인 ‘코스티야’가 서빙되면 오늘의 미식이 절정에 올랐음을 오감으로 느낄 수 있는데.
138,새끼 돼지에 고온의 기름을 계속해서 들이붓는 조리법으로 요리했기 때문에 겉은 바삭하고 속은 육즙이 가득한 식감을 즐기실 수 있습니다.
139,꼬치니요여기는 디저트도 한 가지만 주는 게 아닌데 대망의 스위트 시퀸스로 다시 시작.
140,육해공 다양한 재료를 흡입한 입안을 개운하게 클렌징하기 위해 배 사과 시금치 라임 주스를 베이스로 그린 젤리를 만들고 라임 카르다몸 셀러리 진에어 레몬 탄산 결정체로 신선한 느낌을 더한 디톡스 프리디저트.
141,접시를 앞에 놓자마자 향긋함이 온몸을 감싸고 입안에 넣자마자 깔끔하게 미각을 정리해주더라고요.
142,단맛은 줄이고 훈제 향과 매콤함을 더한 훈제 초콜릿 무스 위에 참깨 크럼블을 올리고 라즈베리와 피퀴요라고 하는 고추로 만든 퓌레를 올리고 코코아 타일로 화산 모양을 만들어 그 안에 피퀴요 칩을 올렸는데 처음부터 끝까지 플레이팅 하나하나 감탄을 불러일으키지 않는 것이 없네요.
143,맛은 혀로 보는 것이지만 하비에르 아란다의 모든 메뉴는 눈으로 먹는 맛만큼은 절대만족이었다는ㅎㅎ.
144,리즈너블하게 접할 수는 없는 곳이지만 특별한 날에 특별한 경험 한번 해보세요.
145,♥와인 페어링 소믈리에 피에다드 페르난데스음식뿐 아니라 각각의 메뉴와 궁합을 맞춘 ‘와인 페어링’도 이 식당의 자랑거리인데요.
146,그의 뿌리 깊은 와인 지식은 하비에르 아란다 셰프의 미식과 멋진 케미스트리를 일으키고 있으니 그녀의 와인 페어링은 꼭 경험해 보길 추천합니다.
147,수석 주방장인 몬초도 마드리드의 원스타 레스토랑에서 건너와 주방을 지휘하고 있었어요.
148,첨단 IT 기술 접목한 문화기술 콘텐츠 선봬 경기 하남시 스타필드 하남에서 시민들이 쇼핑을 즐기고 있다.
149,올해는 일상에서 경험하는 상상의 공간을 주제로 스타필드 하남 곳곳에 예술과 첨단 기술이 가미된 특색 있는 콘텐츠를 고객들이 경험할 수 있도록 기획했다.
150,특별전 Mobility &amp; Mobil Art에서는 일상이 미래에 더 편리하게 현실화될 수 있는지 보여준다.
151,또한 실제 눈 앞의 예술 작품이 살아 움직이듯 재창조되는 키네틱 아트도 선보인다.
152,시뮬레이션 영상 콘텐츠로 미래형 모빌리티를 직접 체험해 볼 수 있는 커넥티트 카 교통약자가 원격으로 전람회를 관람할 수 있는 이원 생중계 투어 더블쓰리 자본의 에너지를 시각화한 초대형 설치 작품 크리처 기계적인 움직임으로 시간에 대한 메타포를 담은 돌핀 웨이브 등이 있다.
153,AR기술을 접목시킨 루미퍼즐카드 메타버스 앱 쿤트라 가상의 섬에서 기후변화로 사라져가는 동식물을 관찰하며 지구를 살리는 탐사대가 되어보는 일리에코 탐사대 등을 체험해 볼 수 있다.
154,스타필드 중심부에 위치한 미디어 타워에서도 AI 딥러닝 기술로 그린 자연경관 컬러 오브 네이처가 전시된다.
155,여심 저격 로맨틱 코미디 장르부터 스릴러까지 장악한 임주환은 천의 얼굴로 불리는 배우다.
156,이날 방송에서 임주환은 아침부터 저녁까지 한시도 쉬지 않고 할 일을 찾아서 하는 살림남 면모를 선보인다.
157,임주환은 소파와 테이블도 없고 TV도 바닥에 있지만 혼란 속에 질서가 있는 집이라고 집을 소개한다.
158,이후에도 끊임 없이 할 일을 찾아 끓이고 닦고 삶는 면모로 놀라움을 안긴다.
159,아침부터 제대로 된 식사 없이 물과 영양제 단백질 보조제를 쉼 없이 먹는 것.
160,임주환은 짧은 시간에 효과적으로 운동하는 게 요즘 트렌드라고 하며 운동은 짧게 약은 많이 먹는 모습으로 임주환표 건강 루틴을 권장한다.
161,무엇보다 임주환은 직접 레몬을 닦고 삶고 즙을 내려 완성한 레몬수와 생달걀을 섞은 에그몬 워터를 소개한다.
162,또 임주환은 물을 살 땐 사치를 부린다며 물로 세계 일주 중인 반전 취미도 공개한다.
163,연둣빛 한복저고리에 다홍치마 차림의 외국인 소녀들이 스마트폰 셀카봉을 들어올리며 “스마일을 외쳤다.
164,공연장을 찾은 팬들 중에는 전통 한복이나 생활한복을 입은 이들이 눈에 띄었고 노리개나 복주머니를 청바지 위에 달고 다니는 이들도 있었다.
165,BTS가 해외 무대에서 한복을 입고 자주 공연하고 슈가·진 같은 멤버는 평상시에도 생활 한복을 즐겨 입는다고 알려지면서 이들을 따라 한복을 즐기는 팬이 많아진 덕이다.
166,/문화체육관광부										한복을 입는 것을 자연스럽게 받아들이는 젊은 세대가 최근 늘고 있다.
167,런던이나 파리 같은 유럽에서 한복을 입고 거리 곳곳에서 사진을 찍어 올리는 외국인 사진을 어렵지 않게 찾아볼 수 있다.
168,BTS나 블랙핑크 같은 K팝 스타부터 정호연·박은빈처럼 넷플릭스를 통해 해외에서도 유명해진 배우들이 한복이나 한복을 차용한 옷을 입은 모습이 뮤직비디오·화보에 등장하면서 한복의 인기도 덩달아 높아진 덕분이다.
